Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000006744,3414.346619,-0.068430693,0.057020615,-1.200104437,0.230098783,0.500506227
ENSG00000006747,1877.650152,0.19223996,0.145412686,1.322030186,0.186158099,0.448653291
ENSG00000006756,2171.651055,-0.104647974,0.067622473,-1.547532487,0.121734897,0.351827228
ENSG00000006757,472.9822175,-0.019200865,0.121820513,-0.157616026,0.874759374,0.950568302
ENSG00000006831,6691.567008,0.335287186,0.07449087,4.50105076,6.76E-06,0.000334214
ENSG00000006837,91.85304675,-0.076878927,0.332918642,-0.230924067,0.817373793,0.925466417
ENSG00000007047,4398.55537,0.144789632,0.07751028,1.868005542,0.061761298,0.236618492
ENSG00000007062,16970.34767,0.050319133,0.102275826,0.491994398,0.622723304,0.821534337
ENSG00000007080,2189.153147,0.127656049,0.08525285,1.4973816,0.134293993,0.371735607
ENSG00000007168,8353.443646,0.156334218,0.10912961,1.432555452,0.15198492,0.39980347
ENSG00000007174,20.12030142,0.791752416,0.600859158,1.317700506,0.187603925,0.450696522
ENSG00000007202,14160.77688,-0.008250305,0.053809625,-0.15332396,0.878142807,0.951636933
ENSG00000007216,38.9515418,-1.516489227,0.513130041,-2.955370192,0.003122941,0.033501993
ENSG00000007237,8791.763561,0.32030782,0.092504068,3.462634942,0.000534914,0.009534929
ENSG00000007255,393.0179027,0.045387787,0.124622641,0.364201779,0.715707339,0.873013004
ENSG00000007341,647.9392348,-0.20561188,0.118749384,-1.73147745,0.083366643,0.281885734
ENSG00000007376,1016.592526,0.194721055,0.08713054,2.234819798,0.025429182,0.137954663
ENSG00000007384,2834.087655,0.12539242,0.079279336,1.58165326,0.113728748,0.337591425
ENSG00000007392,1817.118544,0.0430989,0.101062197,0.426459166,0.669773297,0.847031323
ENSG00000007402,81.08412851,0.393587021,0.278151965,1.415007152,0.157066399,0.407819885
ENSG00000007516,101.7925601,0.250319163,0.235125573,1.064619045,0.287048358,0.562897445
ENSG00000007520,3087.532198,0.19934301,0.077394951,2.575659119,0.010004923,0.074398853
ENSG00000007541,2013.949816,0.119609265,0.126163992,0.948045981,0.343106047,0.618325542
ENSG00000007545,2781.291029,-0.051153455,0.131403424,-0.389285554,0.697064922,0.863012031
ENSG00000007866,2787.06894,0.231477979,0.085905918,2.694552173,0.007048329,0.058008919
ENSG00000007923,3281.299951,0.080878015,0.069425984,1.16495309,0.244037982,0.517023238
ENSG00000007944,3942.345026,0.016544134,0.12868882,0.128559215,0.89770644,0.959341967
ENSG00000007968,35.73217481,-0.262678954,0.622079023,-0.422259785,0.672835408,0.848858247
ENSG00000008018,5037.141169,-0.02157505,0.107413011,-0.200860676,0.840807517,0.93491173
ENSG00000008056,235.9089872,-0.612216394,0.334686918,-1.829221165,0.067366483,0.24896855
ENSG00000008083,3092.609974,-0.12338681,0.0908899,-1.357541496,0.174609218,0.43302129
ENSG00000008086,6670.166311,-0.03447598,0.187650934,-0.183724,0.85422998,0.941330628
ENSG00000008128,1474.962872,0.041324326,0.127287416,0.324653661,0.745443209,0.888150586
ENSG00000008130,5194.62689,-0.033041091,0.088706113,-0.372478178,0.709536856,0.869583497
ENSG00000008256,3933.067098,0.0317202,0.117063892,0.270964853,0.786418064,0.909515155
ENSG00000008277,238.5680474,-0.007061649,0.225174478,-0.03136079,0.974981811,0.990130931
