Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000006837,91.85304675,-0.203987317,0.333170178,-0.612261634,0.540364669,0.929718508
ENSG00000007047,4398.55537,-0.069253381,0.077786994,-0.890295119,0.373307441,0.883028117
ENSG00000007062,16970.34767,-0.035371614,0.102296945,-0.345773901,0.729512641,0.966094357
ENSG00000007080,2189.153147,-0.243745615,0.086000173,-2.834245634,0.004593401,0.236032074
ENSG00000007168,8353.443646,0.118938248,0.109163167,1.089545603,0.275913356,0.841513116
ENSG00000007202,14160.77688,-0.030705502,0.053899073,-0.569685166,0.568891253,0.936184961
ENSG00000007216,38.9515418,-0.988597238,0.511466164,-1.932869283,0.053252303,0.616354531
ENSG00000007237,8791.763561,0.038531457,0.092629285,0.415974894,0.677428374,0.955255643
ENSG00000007255,393.0179027,0.003334939,0.125986102,0.026470693,0.978881909,0.997190244
ENSG00000007341,647.9392348,-0.043573512,0.119390712,-0.36496568,0.715137025,0.962354288
ENSG00000007376,1016.592526,-0.060656848,0.088380988,-0.686311045,0.492516986,0.91576384
ENSG00000007384,2834.087655,-0.111674758,0.079751346,-1.400286814,0.161427448,0.762768954
ENSG00000007392,1817.118544,-0.027042106,0.101458996,-0.266532363,0.789829238,0.973573603
ENSG00000007402,81.08412851,0.288205145,0.281234694,1.024785173,0.305464564,0.853199639
ENSG00000007516,101.7925601,0.384354728,0.238995331,1.608210192,0.107789152,0.711990753
ENSG00000007520,3087.532198,-0.060781515,0.077869623,-0.780554888,0.435064333,0.901908438
ENSG00000007541,2013.949816,-0.131673816,0.126643333,-1.039721662,0.298469234,0.850711257
ENSG00000007545,2781.291029,-0.039537344,0.131589323,-0.30046012,0.763826211,0.970201865
ENSG00000007866,2787.06894,-0.005159187,0.086403808,-0.059710182,0.952386462,0.993465986
ENSG00000007923,3281.299951,-0.008892935,0.06978046,-0.127441616,0.89859088,0.985806753
ENSG00000007944,3942.345026,-0.181137051,0.128906593,-1.405180655,0.159967565,0.761626924
ENSG00000007968,35.73217481,0.212569503,0.62475345,0.340245425,0.733671712,0.966328477
ENSG00000008018,5037.141169,0.005256689,0.107524823,0.048888143,0.961008438,0.994060185
ENSG00000008056,235.9089872,0.025654275,0.335524706,0.076460168,0.939053003,0.991755375
ENSG00000008083,3092.609974,0.035866207,0.091024839,0.394026585,0.693561411,0.95858419
ENSG00000008086,6670.166311,-0.081485521,0.187687997,-0.434154142,0.664176512,0.95300018
ENSG00000008128,1474.962872,-0.122628925,0.12782608,-0.95934198,0.337386494,0.868527618
ENSG00000008130,5194.62689,-0.109360971,0.088877096,-1.230474167,0.218519595,0.809547425
ENSG00000008256,3933.067098,-0.052845505,0.117221151,-0.450818857,0.652120109,0.948764576
ENSG00000008277,238.5680474,-0.234937408,0.22590151,-1.03999928,0.298340235,0.850711257
ENSG00000008282,3877.528912,0.06277356,0.083470274,0.752046891,0.452022861,0.905346438
ENSG00000008283,969.0862661,0.075575936,0.101317367,0.745932689,0.455708077,0.90614428
ENSG00000008294,18996.39873,0.011069522,0.055775928,0.198464145,0.842681935,0.980220866
ENSG00000008300,1158.9764,0.405418144,0.189880047,2.135127682,0.032750582,0.537129171
ENSG00000008311,4557.947547,0.11990294,0.110427734,1.085804588,0.277565456,0.842061414
ENSG00000008323,2855.158017,-0.010035951,0.118615185,-0.084609327,0.932571984,0.990608442
ENSG00000008324,447.3533288,0.097355263,0.124117424,0.784380304,0.432816992,0.901908438
ENSG00000008382,865.2438454,-0.167527584,0.089285784,-1.87630748,0.060613071,0.627887549
ENSG00000008394,5072.471551,-0.016958817,0.132857975,-0.127646207,0.898428962,0.985806753
ENSG00000008405,2279.704319,-0.101245614,0.100037633,-1.012075266,0.311502068,0.856579519
ENSG00000008441,230.6993547,0.152454497,0.276778238,0.550818222,0.581758292,0.937837853
ENSG00000008513,4443.468771,0.208846133,0.250589802,0.833418326,0.404608843,0.896157058
