Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000009694,443.6912714,-0.542805073,0.221595122,-2.449535296,0.014304069,0.081710617
ENSG00000009724,9.532860011,-0.871680643,0.803280714,-1.085150717,0.277854908,0.548767873
ENSG00000009765,332.8903262,-0.896237219,0.292960916,-3.059238172,0.002219007,0.020545165
ENSG00000009780,324.4293428,0.42016701,0.181995833,2.308662806,0.0209623,0.10639799
ENSG00000009830,3246.679701,0.135185819,0.136504371,0.990340583,0.322007677,0.594066087
ENSG00000009844,3143.128859,0.128359188,0.098590782,1.301939037,0.192937226,0.448042975
ENSG00000009950,958.9547072,-0.422480607,0.234673685,-1.800289654,0.071814914,0.242476491
ENSG00000009954,8713.799738,-0.17904112,0.04247886,-4.214828766,2.50E-05,0.000563944
ENSG00000010017,4703.062504,-0.140516095,0.064839945,-2.167122359,0.030225526,0.137319537
ENSG00000010030,65.7756196,1.001757496,0.350250825,2.860114592,0.00423488,0.033420326
ENSG00000010072,850.5125292,-0.140630055,0.242306816,-0.580380102,0.56165832,0.782689812
ENSG00000010165,1661.420062,0.172089077,0.108435432,1.587018869,0.112508371,0.321994764
ENSG00000010219,490.775844,0.419939746,0.156535451,2.682713364,0.007302755,0.049206849
ENSG00000010244,9312.020604,0.083126027,0.071070327,1.169630556,0.242149675,0.510024322
ENSG00000010256,5101.350002,0.079324734,0.070259065,1.129032014,0.258884329,0.528388844
ENSG00000010270,2555.324518,0.18960749,0.058639986,3.233416376,0.001223191,0.012925613
ENSG00000010278,2449.575794,0.263971767,0.114183746,2.311815614,0.020787847,0.105801596
ENSG00000010292,2822.333521,0.064943288,0.135272096,0.48009375,0.631160732,0.826908623
ENSG00000010295,303.5118072,0.215230161,0.173137103,1.243119801,0.21382369,0.474859856
ENSG00000010310,179.0750542,0.282385178,0.221924692,1.272436948,0.203217913,0.461513347
ENSG00000010318,130.2940975,-0.189536375,0.183552159,-1.032602265,0.301790068,0.573999607
ENSG00000010319,24.56787128,0.251276466,0.477491368,0.52624295,0.598719416,0.806614735
ENSG00000010322,9334.780987,0.066123182,0.093254746,0.709059699,0.47828743,0.72549568
ENSG00000010327,64.54678055,-2.061123957,0.707768639,-2.912143662,0.003589575,0.029505989
ENSG00000010361,377.170236,-0.143460002,0.155575229,-0.922126243,0.35646273,0.626532214
ENSG00000010379,68.64288284,-1.988997268,0.50946299,-3.904105515,9.46E-05,0.001719091
ENSG00000010404,9358.974778,0.46342454,0.111540211,4.154775546,3.26E-05,0.000696065
ENSG00000010438,278.3934582,-1.040450599,0.190153667,-5.471630458,4.46E-08,2.76E-06
ENSG00000010539,861.1198354,0.092845465,0.087088086,1.066109832,0.286373996,0.55759037
ENSG00000010610,12.64081783,-0.755918528,0.930708489,-0.812196877,0.416678671,0.67953996
ENSG00000010626,423.5967837,0.094307107,0.097397978,0.968265547,0.332911767,0.603778375
ENSG00000010704,108.9406503,0.592748125,0.35345397,1.677016459,0.093539263,0.286367649
ENSG00000010803,2878.841058,0.054144108,0.117814362,0.459571371,0.645823912,0.835479471
ENSG00000010810,3699.461694,0.208021626,0.156739817,1.327177932,0.184449831,0.436002208
ENSG00000010818,7026.132865,-0.306748437,0.108944691,-2.81563457,0.0048681,0.036775805
ENSG00000010932,481.113957,-0.550603443,0.332606059,-1.655422165,0.097838893,0.294015689
ENSG00000011007,4915.527305,0.02267604,0.04534217,0.500109268,0.616998141,0.818812742
ENSG00000011009,6607.278251,0.049067407,0.074582311,0.657896036,0.510604938,0.747277307
ENSG00000011021,3307.682926,0.355591938,0.096162115,3.697838174,0.000217443,0.003363403
ENSG00000011028,18624.71149,0.404632497,0.163643488,2.472646487,0.013411674,0.077713244
ENSG00000011052,113.840969,-0.22987136,0.356418036,-0.64494873,0.518960411,0.75253513
ENSG00000011105,2810.40681,0.037652359,0.10288202,0.365976082,0.714382923,0.873270485
ENSG00000011114,4120.97396,0.067212315,0.101363224,0.663083834,0.507276864,0.744952455
ENSG00000011132,1428.980213,0.433927468,0.131435676,3.301443577,0.000961887,0.010778476
ENSG00000011143,622.4492702,-0.075792073,0.157220085,-0.482076276,0.629751762,0.826240055
ENSG00000011198,2315.901839,0.327312987,0.047815551,6.845325024,7.63E-12,1.18E-09
ENSG00000011201,1025.132372,-0.142327493,0.174091464,-0.817544352,0.413617414,0.677043854
ENSG00000011243,4453.013773,-0.091603788,0.078344833,-1.169238417,0.242307587,0.510057979
ENSG00000011258,1143.893018,-0.278294869,0.127050038,-2.190435144,0.028492694,0.131767182
ENSG00000011260,1158.601613,-0.105670383,0.130562768,-0.809345454,0.418316468,0.681088962
ENSG00000011275,4458.118358,0.03460239,0.057522537,0.601544923,0.5474771,0.773226327
ENSG00000011295,1772.038448,-0.002707866,0.078676024,-0.03441793,0.972543886,0.989867473
ENSG00000011304,18419.43926,0.157543586,0.125305405,1.257276864,0.208653399,0.468165654
ENSG00000011332,16.33239217,0.618263759,0.539233666,1.146560013,0.251563511,0.520411507
ENSG00000011347,3334.938975,-0.083712352,0.135895566,-0.616005028,0.537891202,0.766919899
ENSG00000011376,1236.73548,-0.012076479,0.07659428,-0.157668161,0.87471829,0.949702776
ENSG00000011405,9137.140318,0.087243133,0.117732114,0.741030888,0.458674712,0.71276986
ENSG00000011422,400.8098942,1.098815748,0.254051532,4.325168759,1.52E-05,0.000371771
ENSG00000011426,605.9502696,-0.076180841,0.281535127,-0.270590891,0.786705703,0.909152836
ENSG00000011451,4043.85227,0.089232645,0.105341342,0.847080962,0.396949996,0.662603515
ENSG00000011454,3623.411517,-0.016022786,0.058372307,-0.274492937,0.783705831,0.907888702
ENSG00000011465,18349.2804,0.198610314,0.749493983,0.264992539,0.791015209,0.911242065
ENSG00000011478,683.3088699,0.141959053,0.102115877,1.39017612,0.164475403,0.407416737
ENSG00000011485,2681.13482,0.154153759,0.063165032,2.440492071,0.014667268,0.083198118
ENSG00000011523,337.8370404,0.319642242,0.261256289,1.22348152,0.22114788,0.48435088
ENSG00000011566,3290.396632,0.081936325,0.129871115,0.630904914,0.528102699,0.759272799
ENSG00000011638,743.1921422,0.087143349,0.130663357,0.666930283,0.504816666,0.743330842
ENSG00000011677,61.13543163,-0.294506609,0.28676858,-1.02698353,0.304428219,0.576960114
ENSG00000012048,308.9902516,-0.674260965,0.239777761,-2.812024616,0.004923074,0.037071722
ENSG00000012061,1565.718945,0.40577714,0.076926167,5.274890932,1.33E-07,7.09E-06
ENSG00000012124,66.24550585,-1.377776619,0.388064804,-3.550377682,0.000384679,0.005289548
ENSG00000012171,10204.53502,0.249366215,0.129265653,1.929098788,0.053718599,0.202625467
ENSG00000012174,1643.178126,-0.036624146,0.113198343,-0.323539598,0.746286624,0.889672503
ENSG00000012211,700.0097909,0.229176607,0.112381459,2.039274182,0.041422671,0.170132425
ENSG00000012232,4703.050293,0.093009934,0.171040219,0.543789845,0.586586098,0.79802343
ENSG00000012504,39.95808967,-1.107496376,0.490520511,-2.2577983,0.023958237,0.116297929
ENSG00000012660,10054.48604,0.209674174,0.186196854,1.126088702,0.260127976,0.529984362
ENSG00000012779,212.0402445,-0.02460431,0.230882651,-0.106566299,0.915133056,0.966367405
ENSG00000012817,3097.965294,-0.044757592,0.086302678,-0.518611853,0.604031442,0.809836323
ENSG00000012822,2255.146679,-0.032123067,0.105368353,-0.304864465,0.760469381,0.896536321
ENSG00000012963,1027.667886,0.018290066,0.075550044,0.242092061,0.808708829,0.920081093
